#,Nome Skill,Dominio,Sottodominio,Cosa Fa,Stelle SkillsMP,Aggiornamento,Autore,Da Tenere?,Note
196,convex-quickstart,SPECIALIZED,Convex,Initializes a new Convex project from scratch or adds Convex to an existing app. Use this skill when starting a new proj,,,,,
197,convex-setup-auth,SPECIALIZED,Convex,"Sets up Convex authentication with user management, identity mapping, and access control. Use this skill when adding log",,,,,
198,game-engine,SPECIALIZED,Game Dev,"'Expert skill for building web-based game engines and games using HTML5, Canvas, WebGL, and JavaScript. Use when asked t",,,,,
199,godot-gdscript-patterns,SPECIALIZED,Game Dev,"Master Godot 4 GDScript patterns including signals, scenes, state machines, and optimization. Use when building Godot ga",,,,,
200,unity-ecs-patterns,SPECIALIZED,Game Dev,"Master Unity ECS (Entity Component System) with DOTS, Jobs, and Burst for high-performance game development. Use when bu",,,,,
201,creating-oracle-to-postgres-master-migration-plan,SPECIALIZED,Oracle to Postgres,"'Discovers all projects in a .NET solution, classifies each for Oracle-to-PostgreSQL migration eligibility, and produces",,,,,
202,creating-oracle-to-postgres-migration-bug-report,SPECIALIZED,Oracle to Postgres,'Creates structured bug reports for defects found during Oracle-to-PostgreSQL migration. Use when documenting behavioral,,,,,
203,creating-oracle-to-postgres-migration-integration-tests,SPECIALIZED,Oracle to Postgres,'Creates integration test cases for .NET data access artifacts during Oracle-to-PostgreSQL database migrations. Generate,,,,,
204,migrating-oracle-to-postgres-stored-procedures,SPECIALIZED,Oracle to Postgres,"'Migrates Oracle PL/SQL stored procedures to PostgreSQL PL/pgSQL. Translates Oracle-specific syntax, preserves method si",,,,,
205,planning-oracle-to-postgres-migration-integration-testing,SPECIALIZED,Oracle to Postgres,'Creates an integration testing plan for .NET data access artifacts during Oracle-to-PostgreSQL database migrations. Ana,,,,,
206,reviewing-oracle-to-postgres-migration,SPECIALIZED,Oracle to Postgres,'Identifies Oracle-to-PostgreSQL migration risks by cross-referencing code against known behavioral differences (empty s,,,,,
207,scaffolding-oracle-to-postgres-migration-test-project,SPECIALIZED,Oracle to Postgres,'Scaffolds an xUnit integration test project for validating Oracle-to-PostgreSQL database migration behavior in .NET sol,,,,,
208,salesforce-apex-quality,SPECIALIZED,Salesforce,"'Apex code quality guardrails for Salesforce development. Enforces bulk-safety rules (no SOQL/DML in loops), sharing mod",,,,,
209,salesforce-component-standards,SPECIALIZED,Salesforce,"'Quality standards for Salesforce Lightning Web Components (LWC), Aura components, and Visualforce pages. Covers SLDS 2 ",,,,,
210,salesforce-flow-design,SPECIALIZED,Salesforce,"'Salesforce Flow architecture decisions, flow type selection, bulk safety validation, and fault handling standards. Use ",,,,,
211,snowflake-semanticview,SPECIALIZED,Snowflake,"Create, alter, and validate Snowflake semantic views using Snowflake CLI (snow). Use when asked to build or troubleshoot",,,,,
212,vercel-composition-patterns,SPECIALIZED,Vercel,React composition patterns that scale. Use when refactoring components with,,,,,
213,vercel-react-best-practices,SPECIALIZED,Vercel,"React and Next.js performance optimization guidelines from Vercel Engineering. This skill should be used when writing, r",,,,,
214,vercel-react-view-transitions,SPECIALIZED,Vercel,"Guide for implementing smooth, native-feeling animations using React's View Transition API (`<ViewTransition>` component",,,,,
215,vercel-sandbox,SPECIALIZED,Vercel,Run agent-browser + Chrome inside Vercel Sandbox microVMs for browser automation from any Vercel-deployed app. Use when ,,,,,
216,email-drafter,CONTENT & MEDIA,Email,"'Draft and review professional emails that match your personal writing style. Analyzes your sent emails for tone, greeti",,,,,
217,convert-plaintext-to-md,CONTENT & MEDIA,File Formats,"'Convert a text-based document to markdown following instructions from prompt, or if a documented option is passed, foll",,,,,
218,docx,CONTENT & MEDIA,File Formats,"Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx files). Triggers inclu",,,,,
219,markdown-to-html,CONTENT & MEDIA,File Formats,"'Convert Markdown files to HTML similar to `marked.js`, `pandoc`, `gomarkdown/markdown`, or similar tools; or writing cu",,,,,
220,pdf,CONTENT & MEDIA,File Formats,Use this skill whenever the user wants to do anything with PDF files. This includes reading or extracting text/tables fr,,,,,
221,pdftk-server,CONTENT & MEDIA,File Formats,"'Skill for using the command-line tool pdftk (PDFtk Server) for working with PDF files. Use when asked to merge PDFs, sp",,,,,
222,pptx,CONTENT & MEDIA,File Formats,"Use this skill any time a .pptx file is involved in any way — as input, output, or both. This includes: creating slide d",,,,,
223,shuffle-json-data,CONTENT & MEDIA,File Formats,'Shuffle repetitive JSON objects safely by validating schema consistency before randomising entries.',,,,,
224,xlsx,CONTENT & MEDIA,File Formats,Use this skill any time a spreadsheet file is the primary input or output. This means any task where the user wants to: ,,,,,
225,image-manipulation-image-magick,CONTENT & MEDIA,Media,"Process and manipulate images using ImageMagick. Supports resizing, format conversion, batch processing, and retrieving ",,,,,
226,nano-banana-pro-openrouter,CONTENT & MEDIA,Media,"'Generate or edit images via OpenRouter with the Gemini 3 Pro Image model. Use for prompt-only image generation, image e",,,,,
227,slack-gif-creator,CONTENT & MEDIA,Media,"Knowledge and utilities for creating animated GIFs optimized for Slack. Provides constraints, validation tools, and anim",,,,,
228,transloadit-media-processing,CONTENT & MEDIA,Media,"'Process media files (video, audio, images, documents) using Transloadit. Use when asked to encode video to HLS/MP4, gen",,,,,
229,legacy-circuit-mockups,GAMING & REVERSE,Retro & Art,'Generate breadboard circuit mockups and visual diagrams using HTML5 Canvas drawing techniques. Use when asked to create,,,,,
230,anti-reversing-techniques,GAMING & REVERSE,Reverse Engineering,"Understand anti-reversing, obfuscation, and protection techniques encountered during software analysis. Use this skill w",,,,,
231,binary-analysis-patterns,GAMING & REVERSE,Reverse Engineering,"Master binary analysis patterns including disassembly, decompilation, control flow analysis, and code pattern recognitio",,,,,
232,memory-forensics,GAMING & REVERSE,Reverse Engineering,"Master memory forensics techniques including memory acquisition, process analysis, and artifact extraction using Volatil",,,,,
233,protocol-reverse-engineering,GAMING & REVERSE,Reverse Engineering,"Master network protocol reverse engineering including packet analysis, protocol dissection, and custom protocol document",,,,,
234,model-recommendation,UTILITY,AI Models,...,,,,,
235,opensource-guide-coach,UTILITY,AI Models,"Use when a user wants guidance on starting, contributing to, growing, governing, funding, securing, or sustaining an ope",,,,,
236,running-claude-code-via-litellm-copilot,UTILITY,AI Models,"Use when routing Claude Code through a local LiteLLM proxy to GitHub Copilot, reducing direct Anthropic spend, configuri",,,,,
237,sponsor-finder,UTILITY,AI Models,Find which of a GitHub repository's dependencies are sponsorable via GitHub Sponsors. Uses deps.dev API for dependency r,,,,,
238,refactor-method-complexity-reduce,UTILITY,Altro,'Refactor given method `${input:methodName}` to reduce its cognitive complexity to `${input:complexityThreshold}` or bel,,,,,
239,agent-browser,UTILITY,Browser Automation,"Browser automation CLI for AI agents. Use when the user needs to interact with websites, including navigating pages, fil",,,,,
240,agentcore,UTILITY,Browser Automation,"Run agent-browser on AWS Bedrock AgentCore cloud browsers. Use when the user wants to use AgentCore, run browser automat",,,,,
241,chrome-devtools,UTILITY,Browser Automation,"'Expert-level browser automation, debugging, and performance analysis using Chrome DevTools MCP. Use for interacting wit",,,,,
242,develop-userscripts,UTILITY,Browser Automation,"Use when building, debugging, packaging, or publishing browser userscripts for Tampermonkey or ScriptCat, including GM A",,,,,
243,slack,UTILITY,Browser Automation,"Interact with Slack workspaces using browser automation. Use when the user needs to check unread channels, navigate Slac",,,,,
244,use-my-browser,UTILITY,Browser Automation,"Use when work depends on the user's live browser session or visible rendered state rather than static fetches, especiall",,,,,
245,block-no-verify-hook,UTILITY,Environment,Configure a PreToolUse hook to prevent AI agents from skipping git pre-commit hooks with --no-verify and other bypass fl,,,,,
246,editorconfig,UTILITY,Environment,'Generates a comprehensive and best-practice-oriented .editorconfig file based on project analysis and user preferences.,,,,,
247,sandbox-npm-install,UTILITY,Environment,"'Install npm packages in a Docker sandbox environment. Use this skill whenever you need to install, reinstall, or update",,,,,
248,tzst,UTILITY,Environment,"Use when the user needs to create, extract, flatten, list, test, install, script, or troubleshoot `tzst` CLI workflows f",,,,,
249,xdrop,UTILITY,Environment,"Use this skill when the user wants to send or fetch files through an Xdrop server from the terminal, asks to automate en",,,,,
250,xget,UTILITY,Environment,"Use when tasks involve Xget URL rewriting, registry/package/container/API",,,,,
251,finnish-humanizer,UTILITY,Language,"'Detect and remove AI-generated markers from Finnish text, making it sound like a native Finnish speaker wrote it. Use w",,,,,
252,onboard-context-matic,UTILITY,Onboarding,"'Interactive onboarding tour for the context-matic MCP server. Walks the user through what the server does, shows all av",,,,,
253,what-context-needed,UTILITY,Onboarding,'Ask Copilot what files it needs to see before answering a question',,,,,
254,automate-this,UTILITY,Productivity,"'Analyze a screen recording of a manual process and produce targeted, working automation scripts. Extracts frames and au",,,,,
255,autoresearch,UTILITY,Productivity,"'Autonomous iterative experimentation loop for any programming task. Guides the user through defining goals, measurable ",,,,,
256,daily-prep,UTILITY,Productivity,"'Prepare for tomorrow''s meetings and tasks. Pulls calendar from Outlook via WorkIQ, cross-references open tasks and wor",,,,,
257,dogfood,UTILITY,Productivity,"Systematically explore and test a web application to find bugs, UX issues, and other problems. Use when asked to ""dogfoo",,,,,
258,meeting-minutes,UTILITY,Productivity,"'Generate concise, actionable meeting minutes for internal meetings. Includes metadata, attendees, agenda, decisions, ac",,,,,
259,napkin,UTILITY,Productivity,"'Visual whiteboard collaboration for Copilot CLI. Creates an interactive whiteboard that opens in your browser — draw, s",,,,,
260,roundup,UTILITY,Productivity,"'Generate personalized status briefings on demand. Pulls from your configured data sources (GitHub, email, Teams, Slack,",,,,,
261,roundup-setup,UTILITY,Productivity,"'Interactive onboarding that learns your communication style, audiences, and data sources to configure personalized stat",,,,,
262,apple-appstore-reviewer,UTILITY,Varie,'Serves as a reviewer of the codebase with instructions on looking for Apple App Store optimizations or rejection reason,,,,,
263,architecture-patterns,UTILITY,Varie,"Implement proven backend architecture patterns including Clean Architecture, Hexagonal Architecture, and Domain-Driven D",,,,,
264,comment-code-generate-a-tutorial,UTILITY,Varie,"'Transform this Python script into a polished, beginner-friendly project by refactoring the code, adding clear instructi",,,,,
265,create-adaptable-composable,UTILITY,Varie,Create a library-grade Vue composable that accepts maybe-reactive inputs (MaybeRef / MaybeRefOrGetter) so callers can pa,,,,,
266,debugging-strategies,UTILITY,Varie,"Master systematic debugging techniques, profiling tools, and root cause analysis to efficiently track down bugs across a",,,,,
267,generate-custom-instructions-from-codebase,UTILITY,Varie,'Migration and code evolution instructions generator for GitHub Copilot. Analyzes differences between two project versio,,,,,
268,github-copilot-starter,UTILITY,Varie,React development best practices,,,,,
269,mentoring-juniors,UTILITY,Varie,"'Socratic mentoring for junior developers and AI newcomers. Guides through questions, never answers. Triggers: ""help me ",,,,,
270,risk-metrics-calculation,UTILITY,Varie,"Calculate portfolio risk metrics including VaR, CVaR, Sharpe, Sortino, and drawdown analysis. Use when measuring portfol",,,,,
271,template-skill,UTILITY,Varie,Replace with description of the skill and when Claude should use it.,,,,,
272,update-markdown-file-index,UTILITY,Varie,'Update a markdown file section with an index/table of files from a specified folder.',,,,,
273,using-superpowers,UTILITY,Varie,"Use when starting any conversation - establishes how to find and use skills, requiring Skill tool invocation before ANY ",,,,,
274,vscode-ext-commands,UTILITY,Varie,"'Guidelines for contributing commands in VS Code extensions. Indicates naming convention, visibility, localization and o",,,,,
275,vscode-ext-localization,UTILITY,Varie,"'Guidelines for proper localization of VS Code extensions, following VS Code extension development guidelines, libraries",,,,,
276,workiq-copilot,UTILITY,Varie,"'Guides the Copilot CLI on how to use the WorkIQ CLI/MCP server to query Microsoft 365 Copilot data (emails, meetings, d",,,,,
277,write-coding-standards-from-file,UTILITY,Varie,'Write a coding standards document for a project using the coding styles from the file(s) and/or folder(s) passed as arg,,,,,
278,quasi-coder,UTILITY,Writing,"'Expert 10x engineer skill for interpreting and implementing code from shorthand, quasi-code, and natural language descr",,,,,
279,refactor,UTILITY,Writing,"'Surgical code refactoring to improve maintainability without changing behavior. Covers extracting functions, renaming v",,,,,
280,az-cost-optimize,INFRASTRUCTURE,Azure,'Analyze Azure resources used in the app (IaC files and/or resources in a target rg) and optimize costs - creating GitHu,,,,,
281,azure-architecture-autopilot,INFRASTRUCTURE,Azure,>,,,,,
282,azure-deployment-preflight,INFRASTRUCTURE,Azure,"'Performs comprehensive preflight validation of Bicep deployments to Azure, including template syntax validation, what-i",,,,,
283,azure-devops-cli,INFRASTRUCTURE,Azure,"Manage Azure DevOps resources via CLI including projects, repos, pipelines, builds, pull requests, work items, artifacts",,,,,
284,azure-pricing,INFRASTRUCTURE,Azure,'Fetches real-time Azure retail pricing using the Azure Retail Prices API (prices.azure.com) and estimates Copilot Studi,,,,,
285,azure-resource-health-diagnose,INFRASTRUCTURE,Azure,"'Analyze Azure resource health, diagnose issues from logs and telemetry, and create a remediation plan for identified pr",,,,,
286,azure-resource-visualizer,INFRASTRUCTURE,Azure,Analyze Azure resource groups and generate detailed Mermaid architecture diagrams showing the relationships between indi,,,,,
287,azure-role-selector,INFRASTRUCTURE,Azure,"When user is asking for guidance for which role to assign to an identity given desired permissions, this agent helps the",,,,,
288,azure-static-web-apps,INFRASTRUCTURE,Azure,"Helps create, configure, and deploy Azure Static Web Apps using the SWA CLI. Use when deploying static sites to Azure, s",,,,,
289,codeql,INFRASTRUCTURE,CI/CD,Comprehensive guide for setting up and configuring CodeQL code scanning via GitHub Actions workflows and the CodeQL CLI.,,,,,
290,dependabot,INFRASTRUCTURE,CI/CD,>-,,,,,
291,deployment-pipeline-design,INFRASTRUCTURE,CI/CD,"Design multi-stage CI/CD pipelines with approval gates, security checks, and deployment orchestration. Use this skill wh",,,,,
292,devops-rollout-plan,INFRASTRUCTURE,CI/CD,"'Generate comprehensive rollout plans with preflight checks, step-by-step deployment, verification signals, rollback pro",,,,,
293,github-actions-docs,INFRASTRUCTURE,CI/CD,"Use when users ask how to write, explain, customize, migrate, secure, or troubleshoot GitHub Actions workflows, workflow",,,,,
294,github-actions-templates,INFRASTRUCTURE,CI/CD,"Create production-ready GitHub Actions workflows for automated testing, building, and deploying applications. Use when s",,,,,
295,gitlab-ci-patterns,INFRASTRUCTURE,CI/CD,"Build GitLab CI/CD pipelines with multi-stage workflows, caching, and distributed runners for scalable automation. Use w",,,,,
296,sast-configuration,INFRASTRUCTURE,CI/CD,Configure Static Application Security Testing (SAST) tools for automated vulnerability detection in application code. Us,,,,,
297,secret-scanning,INFRASTRUCTURE,CI/CD,"'Guide for configuring and managing GitHub secret scanning, push protection, custom patterns, and secret alert remediati",,,,,
298,secrets-management,INFRASTRUCTURE,CI/CD,"Implement secure secrets management for CI/CD pipelines using Vault, AWS Secrets Manager, or native platform solutions. ",,,,,
299,aws-cdk-python-setup,INFRASTRUCTURE,Cloud Platforms,Setup and initialization guide for developing AWS CDK (Cloud Development Kit) applications in Python. This skill enables,,,,,
300,cost-optimization,INFRASTRUCTURE,Cloud Platforms,"Optimize cloud costs across AWS, Azure, GCP, and OCI through resource rightsizing, tagging strategies, reserved instance",,,,,
301,hybrid-cloud-networking,INFRASTRUCTURE,Cloud Platforms,"Configure secure, high-performance connectivity between on-premises infrastructure and cloud platforms using VPN and ded",,,,,
302,multi-cloud-architecture,INFRASTRUCTURE,Cloud Platforms,"Design multi-cloud architectures using a decision framework to select and integrate services across AWS, Azure, GCP, and",,,,,
303,gitops-workflow,INFRASTRUCTURE,Kubernetes,"Implement GitOps workflows with ArgoCD and Flux for automated, declarative Kubernetes deployments with continuous reconc",,,,,
304,helm-chart-scaffolding,INFRASTRUCTURE,Kubernetes,"Design, organize, and manage Helm charts for templating and packaging Kubernetes applications with reusable configuratio",,,,,
305,istio-traffic-management,INFRASTRUCTURE,Kubernetes,"Configure Istio traffic management including routing, load balancing, circuit breakers, and canary deployments. Use when",,,,,
306,k8s-manifest-generator,INFRASTRUCTURE,Kubernetes,Application description,,,,,
307,k8s-security-policies,INFRASTRUCTURE,Kubernetes,"Implement Kubernetes security policies including NetworkPolicy, PodSecurityPolicy, and RBAC for production-grade securit",,,,,
308,linkerd-patterns,INFRASTRUCTURE,Kubernetes,"Implement Linkerd service mesh patterns for lightweight, security-focused service mesh deployments. Use when setting up ",,,,,
309,mtls-configuration,INFRASTRUCTURE,Kubernetes,Configure mutual TLS (mTLS) for zero-trust service-to-service communication. Use when implementing zero-trust networking,,,,,
310,service-mesh-observability,INFRASTRUCTURE,Kubernetes,"Implement comprehensive observability for service meshes including distributed tracing, metrics, and visualization. Use ",,,,,
311,distributed-tracing,INFRASTRUCTURE,Monitoring,Implement distributed tracing with Jaeger and Tempo to track requests across microservices and identify performance bott,,,,,
312,grafana-dashboards,INFRASTRUCTURE,Monitoring,Create and manage production Grafana dashboards for real-time visualization of system and application metrics. Use when ,,,,,
313,incident-runbook-templates,INFRASTRUCTURE,Monitoring,"Create structured incident response runbooks with step-by-step procedures, escalation paths, and recovery actions. Use t",,,,,
314,on-call-handoff-patterns,INFRASTRUCTURE,Monitoring,"Master on-call shift handoffs with context transfer, escalation procedures, and documentation. Use this skill when trans",,,,,
315,postmortem-writing,INFRASTRUCTURE,Monitoring,"Write effective blameless postmortems with root cause analysis, timelines, and action items. Use when conducting inciden",,,,,
316,prometheus-configuration,INFRASTRUCTURE,Monitoring,{{ $labels.job }} has been down for more than 1 minute,,,,,
317,slo-implementation,INFRASTRUCTURE,Monitoring,Error budget burning at {{ $value }}x rate,,,,,
318,import-infrastructure-as-code,INFRASTRUCTURE,Terraform/IaC,'Import existing Azure resources into Terraform using Azure CLI discovery and Azure Verified Modules (AVM). Use when ask,,,,,
319,terraform-azurerm-set-diff-analyzer,INFRASTRUCTURE,Terraform/IaC,Analyze Terraform plan JSON output for AzureRM Provider to distinguish between false-positive diffs (order-only changes ,,,,,
320,terraform-module-library,INFRASTRUCTURE,Terraform/IaC,"Build reusable Terraform modules for AWS, Azure, GCP, and OCI infrastructure following infrastructure-as-code best pract",,,,,
321,update-avm-modules-in-bicep,INFRASTRUCTURE,Terraform/IaC,'Update Azure Verified Modules (AVM) to latest versions in Bicep files.',,,,,
322,agent-governance,AI & AGENTS,AI Safety,|,,,,,
323,agent-owasp-compliance,AI & AGENTS,AI Safety,|,,,,,
324,agent-supply-chain,AI & AGENTS,AI Safety,|,,,,,
325,ai-prompt-engineering-safety-review,AI & AGENTS,AI Safety,"'Comprehensive AI prompt engineering safety review and improvement prompt. Analyzes prompts for safety, bias, security v",,,,,
326,copilot-sdk,AI & AGENTS,Agent Frameworks,Get the current weather for a city,,,,,
327,copilot-spaces,AI & AGENTS,Agent Frameworks,"'Use Copilot Spaces to provide project-specific context to conversations. Use this skill when users mention a ""Copilot s",,,,,
328,declarative-agents,AI & AGENTS,Agent Frameworks,"'Complete development kit for Microsoft 365 Copilot declarative agents with three comprehensive workflows (basic, advanc",,,,,
329,microsoft-agent-framework,AI & AGENTS,Agent Frameworks,"'Create, update, refactor, explain, or review Microsoft Agent Framework solutions using shared guidance plus language-sp",,,,,
330,semantic-kernel,AI & AGENTS,Agent Frameworks,"'Create, update, refactor, explain, or review Semantic Kernel solutions using shared guidance plus language-specific ref",,,,,
331,temporal-python-testing,AI & AGENTS,Agent Frameworks,"Test Temporal workflows with pytest, time-skipping, and mocking strategies. Covers unit testing, integration testing, re",,,,,
332,workflow-orchestration-patterns,AI & AGENTS,Agent Frameworks,"Design durable workflows with Temporal for distributed systems. Covers workflow vs activity separation, saga patterns, s",,,,,
333,arize-ai-provider-integration,AI & AGENTS,Arize AI,"INVOKE THIS SKILL when creating, reading, updating, or deleting Arize AI integrations. Covers listing integrations, crea",,,,,
334,arize-annotation,AI & AGENTS,Arize AI,"INVOKE THIS SKILL when creating, managing, or using annotation configs on Arize (categorical, continuous, freeform), or ",,,,,
335,arize-dataset,AI & AGENTS,Arize AI,"INVOKE THIS SKILL when creating, managing, or querying Arize datasets and examples. Covers dataset CRUD, appending examp",,,,,
336,arize-evaluator,AI & AGENTS,Arize AI,"INVOKE THIS SKILL for LLM-as-judge evaluation workflows on Arize: creating/updating evaluators, running evaluations on s",,,,,
337,arize-experiment,AI & AGENTS,Arize AI,"INVOKE THIS SKILL when creating, running, or analyzing Arize experiments. Covers experiment CRUD, exporting runs, compar",,,,,
338,arize-instrumentation,AI & AGENTS,Arize AI,INVOKE THIS SKILL when adding Arize AX tracing to an application. Follow the Agent-Assisted Tracing two-phase flow: anal,,,,,
339,arize-link,AI & AGENTS,Arize AI,"Generate deep links to the Arize UI. Use when the user wants a clickable URL to open a specific trace, span, session, da",,,,,
340,arize-prompt-optimization,AI & AGENTS,Arize AI,"INVOKE THIS SKILL when optimizing, improving, or debugging LLM prompts using production trace data, evaluations, and ann",,,,,
341,arize-trace,AI & AGENTS,Arize AI,"INVOKE THIS SKILL when downloading or exporting Arize traces and spans. Covers exporting traces by ID, sessions by ID, a",,,,,
342,agentic-eval,AI & AGENTS,LLM Dev,|,,,,,
343,embedding-strategies,AI & AGENTS,LLM Dev,"Select and optimize embedding models for semantic search and RAG applications. Use when choosing embedding models, imple",,,,,
344,eval-driven-dev,AI & AGENTS,LLM Dev,>,,,,,
345,hybrid-search-implementation,AI & AGENTS,LLM Dev,"Combine vector and keyword search for improved retrieval. Use when implementing RAG systems, building search engines, or",,,,,
346,langchain-architecture,AI & AGENTS,LLM Dev,"Design LLM applications using LangChain 1.x and LangGraph for agents, memory, and tool integration. Use when building La",,,,,
347,llm-evaluation,AI & AGENTS,LLM Dev,"Implement comprehensive evaluation strategies for LLM applications using automated metrics, human feedback, and benchmar",,,,,
348,prompt-engineering-patterns,AI & AGENTS,LLM Dev,"Master advanced prompt engineering techniques to maximize LLM performance, reliability, and controllability in productio",,,,,
349,rag-implementation,AI & AGENTS,LLM Dev,Build Retrieval-Augmented Generation (RAG) systems for LLM applications with vector databases and semantic search. Use w,,,,,
350,similarity-search-patterns,AI & AGENTS,LLM Dev,"Implement efficient similarity search with vector databases. Use when building semantic search, implementing nearest nei",,,,,
351,vector-index-tuning,AI & AGENTS,LLM Dev,"Optimize vector index performance for latency, recall, and memory. Use when tuning HNSW parameters, selecting quantizati",,,,,
352,phoenix-cli,AI & AGENTS,Phoenix,"Debug LLM applications using the Phoenix CLI. Fetch traces, analyze errors, review experiments, inspect datasets, and qu",,,,,
353,phoenix-evals,AI & AGENTS,Phoenix,Build and run evaluators for AI/LLM applications using Phoenix.,,,,,
354,phoenix-tracing,AI & AGENTS,Phoenix,"OpenInference semantic conventions and instrumentation for Phoenix AI observability. Use when implementing LLM tracing, ",,,,,
355,tavily-best-practices,AI & AGENTS,Tavily,Build production-ready Tavily integrations with best practices baked in. Reference documentation for developers using co,,,,,
356,tavily-cli,AI & AGENTS,Tavily,|,,,,,
357,tavily-crawl,AI & AGENTS,Tavily,|,,,,,
358,tavily-extract,AI & AGENTS,Tavily,|,,,,,
359,tavily-map,AI & AGENTS,Tavily,|,,,,,
360,tavily-research,AI & AGENTS,Tavily,|,,,,,
361,tavily-search,AI & AGENTS,Tavily,|,,,,,
362,ab-test-setup,GO-TO-MARKET,CRO,"When the user wants to plan, design, or implement an A/B test or experiment, or build a growth experimentation program. ",,,,,
363,form-cro,GO-TO-MARKET,CRO,"When the user wants to optimize any form that is NOT signup/registration — including lead capture forms, contact forms, ",,,,,
364,onboarding-cro,GO-TO-MARKET,CRO,"When the user wants to optimize post-signup onboarding, user activation, first-run experience, or time-to-value. Also us",,,,,
365,page-cro,GO-TO-MARKET,CRO,"When the user wants to optimize, improve, or increase conversions on any marketing page — including homepage, landing pa",,,,,
366,paywall-upgrade-cro,GO-TO-MARKET,CRO,"When the user wants to create or optimize in-app paywalls, upgrade screens, upsell modals, or feature gates. Also use wh",,,,,
367,popup-cro,GO-TO-MARKET,CRO,"When the user wants to create or optimize popups, modals, overlays, slide-ins, or banners for conversion purposes. Also ",,,,,
368,signup-flow-cro,GO-TO-MARKET,CRO,"When the user wants to optimize signup, registration, account creation, or trial activation flows. Also use when the use",,,,,
369,ad-creative,GO-TO-MARKET,Copy & Content,"When the user wants to generate, iterate, or scale ad creative — headlines, descriptions, primary text, or full ad varia",,,,,
370,cold-email,GO-TO-MARKET,Copy & Content,"Write B2B cold emails and follow-up sequences that get replies. Use when the user wants to write cold outreach emails, p",,,,,
371,content-strategy,GO-TO-MARKET,Copy & Content,"When the user wants to plan a content strategy, decide what content to create, or figure out what topics to cover. Also ",,,,,
372,copy-editing,GO-TO-MARKET,Copy & Content,"When the user wants to edit, review, or improve existing marketing copy, or refresh outdated content. Also use when the ",,,,,
373,copywriting,GO-TO-MARKET,Copy & Content,"When the user wants to write, rewrite, or improve marketing copy for any page — including homepage, landing pages, prici",,,,,
374,email-sequence,GO-TO-MARKET,Copy & Content,"When the user wants to create or optimize an email sequence, drip campaign, automated email flow, or lifecycle email pro",,,,,
375,programmatic-seo,GO-TO-MARKET,Copy & Content,"When the user wants to create SEO-driven pages at scale using templates and data. Also use when the user mentions ""progr",,,,,
376,social-content,GO-TO-MARKET,Copy & Content,"When the user wants help creating, scheduling, or optimizing social media content for LinkedIn, Twitter/X, Instagram, Ti",,,,,
377,gtm-0-to-1-launch,GO-TO-MARKET,GTM Strategy,"Launch new products from idea to first customers. Use when launching products, finding early adopters, building launch w",,,,,
378,gtm-ai-gtm,GO-TO-MARKET,GTM Strategy,"Go-to-market strategy for AI products. Use when positioning AI products, handling ""who is responsible when it breaks"" ob",,,,,
379,gtm-board-and-investor-communication,GO-TO-MARKET,GTM Strategy,"Board meeting preparation, investor updates, and executive communication. Use when preparing board decks, writing invest",,,,,
380,gtm-developer-ecosystem,GO-TO-MARKET,GTM Strategy,"Build and scale developer-led adoption through ecosystem programs. Use when deciding open vs curated ecosystems, buildin",,,,,
381,gtm-enterprise-account-planning,GO-TO-MARKET,GTM Strategy,"Strategic account planning and execution for enterprise deals. Use when planning complex sales cycles, managing multiple",,,,,
382,gtm-enterprise-onboarding,GO-TO-MARKET,GTM Strategy,Four-phase framework for onboarding enterprise customers from contract to value realization. Use when implementing new e,,,,,
383,gtm-operating-cadence,GO-TO-MARKET,GTM Strategy,"Design meeting rhythms, metric reporting, quarterly planning, and decision-making velocity for scaling companies. Use wh",,,,,
384,gtm-partnership-architecture,GO-TO-MARKET,GTM Strategy,Build and scale partner ecosystems that drive revenue and platform adoption. Use when building partner programs from scr,,,,,
385,gtm-positioning-strategy,GO-TO-MARKET,GTM Strategy,"Find and own a defensible market position. Use when messaging sounds like competitors, conversion is weak despite awaren",,,,,
386,gtm-product-led-growth,GO-TO-MARKET,GTM Strategy,"Build self-serve acquisition and expansion motions. Use when deciding PLG vs sales-led, optimizing activation, driving f",,,,,
387,gtm-technical-product-pricing,GO-TO-MARKET,GTM Strategy,"Pricing strategy for technical products. Use when choosing usage-based vs seat-based, designing freemium thresholds, str",,,,,
388,analytics-tracking,GO-TO-MARKET,Paid Ads,"When the user wants to set up, improve, or audit analytics tracking and measurement. Also use when the user mentions ""se",,,,,
389,paid-ads,GO-TO-MARKET,Paid Ads,"When the user wants help with paid advertising campaigns on Google Ads, Meta (Facebook/Instagram), LinkedIn, Twitter/X, ",,,,,
390,competitive-landscape,GO-TO-MARKET,Product Marketing,"Analyze competition, identify differentiation opportunities, and develop winning market positioning strategies using Por",,,,,
391,free-tool-strategy,GO-TO-MARKET,Product Marketing,"When the user wants to plan, evaluate, or build a free tool for marketing purposes — lead generation, SEO value, or bran",,,,,
392,launch-strategy,GO-TO-MARKET,Product Marketing,"When the user wants to plan a product launch, feature announcement, or release strategy. Also use when the user mentions",,,,,
393,lead-magnets,GO-TO-MARKET,Product Marketing,"When the user wants to create, plan, or optimize a lead magnet for email capture or lead generation. Also use when the u",,,,,
394,marketing-ideas,GO-TO-MARKET,Product Marketing,"When the user needs marketing ideas, inspiration, or strategies for their SaaS or software product. Also use when the us",,,,,
